,County_Name,date,order_code,Face_Masks_Required_in_Public,Source_of_Action
82205,Hartford County,4/10/2020,2,,
82206,Hartford County,4/11/2020,2,,
82207,Hartford County,4/12/2020,2,,
82208,Hartford County,4/13/2020,2,,
82209,Hartford County,4/14/2020,2,,
82210,Hartford County,4/15/2020,2,,
82211,Hartford County,4/16/2020,2,,
82212,Hartford County,4/17/2020,2,,
82213,Hartford County,4/18/2020,2,,
82214,Hartford County,4/19/2020,2,,
82215,Hartford County,4/20/2020,1,Yes,Official
82216,Hartford County,4/21/2020,1,Yes,Official
82217,Hartford County,4/22/2020,1,Yes,Official
82218,Hartford County,4/23/2020,1,Yes,Official
82219,Hartford County,4/24/2020,1,Yes,Official
82220,Hartford County,4/25/2020,1,Yes,Official
82221,Hartford County,4/26/2020,1,Yes,Official
82222,Hartford County,4/27/2020,1,Yes,Official
82223,Hartford County,4/28/2020,1,Yes,Official
82224,Hartford County,4/29/2020,1,Yes,Official
82225,Hartford County,4/30/2020,1,Yes,Official
82226,Hartford County,5/1/2020,1,Yes,Official
82227,Hartford County,5/2/2020,1,Yes,Official
82228,Hartford County,5/3/2020,1,Yes,Official
82229,Hartford County,5/4/2020,1,Yes,Official
82230,Hartford County,5/5/2020,1,Yes,Official
82231,Hartford County,5/6/2020,1,Yes,Official
82232,Hartford County,5/7/2020,1,Yes,Official
82233,Hartford County,5/8/2020,1,Yes,Official
82234,Hartford County,5/9/2020,1,Yes,Official
82235,Hartford County,5/10/2020,1,Yes,Official
82236,Hartford County,5/11/2020,1,Yes,Official
82237,Hartford County,5/12/2020,1,Yes,Official
82238,Hartford County,5/13/2020,1,Yes,Official
82239,Hartford County,5/14/2020,1,Yes,Official
82240,Hartford County,5/15/2020,1,Yes,Official
82241,Hartford County,5/16/2020,1,Yes,Official
82242,Hartford County,5/17/2020,1,Yes,Official
82243,Hartford County,5/18/2020,1,Yes,Official
82244,Hartford County,5/19/2020,1,Yes,Official
82245,Hartford County,5/20/2020,1,Yes,Official
82246,Hartford County,5/21/2020,1,Yes,Official
82247,Hartford County,5/22/2020,1,Yes,Official
82248,Hartford County,5/23/2020,1,Yes,Official
82249,Hartford County,5/24/2020,1,Yes,Official
82250,Hartford County,5/25/2020,1,Yes,Official
82251,Hartford County,5/26/2020,1,Yes,Official
82252,Hartford County,5/27/2020,1,Yes,Official
82253,Hartford County,5/28/2020,1,Yes,Official
82254,Hartford County,5/29/2020,1,Yes,Official
82255,Hartford County,5/30/2020,1,Yes,Official
82256,Hartford County,5/31/2020,1,Yes,Official
82257,Hartford County,6/1/2020,1,Yes,Official
82258,Hartford County,6/2/2020,1,Yes,Official
82259,Hartford County,6/3/2020,1,Yes,Official
82261,Hartford County,6/4/2020,1,Yes,Official
82262,Hartford County,6/5/2020,1,Yes,Official
82263,Hartford County,6/6/2020,1,Yes,Official
82264,Hartford County,6/7/2020,1,Yes,Official
82265,Hartford County,6/8/2020,1,Yes,Official
82266,Hartford County,6/9/2020,1,Yes,Official
82267,Hartford County,6/10/2020,1,Yes,Official
82268,Hartford County,6/11/2020,1,Yes,Official
82269,Hartford County,6/12/2020,1,Yes,Official
82270,Hartford County,6/13/2020,1,Yes,Official
82271,Hartford County,6/14/2020,1,Yes,Official
82272,Hartford County,6/15/2020,1,Yes,Official
82273,Hartford County,6/16/2020,1,Yes,Official
82274,Hartford County,6/17/2020,1,Yes,Official
82275,Hartford County,6/18/2020,1,Yes,Official
82276,Hartford County,6/19/2020,1,Yes,Official
82277,Hartford County,6/20/2020,1,Yes,Official
82278,Hartford County,6/21/2020,1,Yes,Official
82279,Hartford County,6/22/2020,1,Yes,Official
82280,Hartford County,6/23/2020,1,Yes,Official
82281,Hartford County,6/24/2020,1,Yes,Official
82282,Hartford County,6/25/2020,1,Yes,Official
82283,Hartford County,6/26/2020,1,Yes,Official
82284,Hartford County,6/27/2020,1,Yes,Official
82285,Hartford County,6/28/2020,1,Yes,Official
82286,Hartford County,6/29/2020,1,Yes,Official
82287,Hartford County,6/30/2020,1,Yes,Official
82288,Hartford County,7/1/2020,1,Yes,Official
82290,Hartford County,7/2/2020,1,Yes,Official
82291,Hartford County,7/3/2020,1,Yes,Official
82292,Hartford County,7/4/2020,1,Yes,Official
82293,Hartford County,7/5/2020,1,Yes,Official
82294,Hartford County,7/6/2020,1,Yes,Official
82295,Hartford County,7/7/2020,1,Yes,Official
82296,Hartford County,7/8/2020,1,Yes,Official
82297,Hartford County,7/9/2020,1,Yes,Official
82298,Hartford County,7/10/2020,1,Yes,Official
82299,Hartford County,7/11/2020,1,Yes,Official
82300,Hartford County,7/12/2020,1,Yes,Official
82301,Hartford County,7/13/2020,1,Yes,Official
82302,Hartford County,7/14/2020,1,Yes,Official
82303,Hartford County,7/15/2020,1,Yes,Official
82304,Hartford County,7/16/2020,1,Yes,Official
82305,Hartford County,7/17/2020,1,Yes,Official
82306,Hartford County,7/18/2020,1,Yes,Official
82307,Hartford County,7/19/2020,1,Yes,Official
82308,Hartford County,7/20/2020,1,Yes,Official
82309,Hartford County,7/21/2020,1,Yes,Official
82310,Hartford County,7/22/2020,1,Yes,Official
82311,Hartford County,7/23/2020,1,Yes,Official
82312,Hartford County,7/24/2020,1,Yes,Official
82313,Hartford County,7/25/2020,1,Yes,Official
82314,Hartford County,7/26/2020,1,Yes,Official
82315,Hartford County,7/27/2020,1,Yes,Official
82316,Hartford County,7/28/2020,1,Yes,Official
82317,Hartford County,7/29/2020,1,Yes,Official
82319,Hartford County,7/30/2020,1,Yes,Official
82320,Hartford County,7/31/2020,1,Yes,Official
82321,Hartford County,8/1/2020,1,Yes,Official
82322,Hartford County,8/2/2020,1,Yes,Official
82323,Hartford County,8/3/2020,1,Yes,Official
82324,Hartford County,8/4/2020,1,Yes,Official
82325,Hartford County,8/5/2020,1,Yes,Official
82326,Hartford County,8/6/2020,1,Yes,Official
82327,Hartford County,8/7/2020,1,Yes,Official
82328,Hartford County,8/8/2020,1,Yes,Official
82329,Hartford County,8/9/2020,1,Yes,Official
82330,Hartford County,8/10/2020,1,Yes,Official
82331,Hartford County,8/11/2020,1,Yes,Official
82332,Hartford County,8/12/2020,1,Yes,Official
82333,Hartford County,8/13/2020,1,Yes,Official
82334,Hartford County,8/14/2020,1,Yes,Official
82335,Hartford County,8/15/2020,1,Yes,Official
82336,Hartford County,8/16/2020,1,Yes,Official
82337,Hartford County,8/17/2020,1,Yes,Official
82338,Hartford County,8/18/2020,1,Yes,Official
82339,Hartford County,8/19/2020,1,Yes,Official
82340,Hartford County,8/20/2020,1,Yes,Official
82341,Hartford County,8/21/2020,1,Yes,Official
82342,Hartford County,8/22/2020,1,Yes,Official
82343,Hartford County,8/23/2020,1,Yes,Official
82344,Hartford County,8/24/2020,1,Yes,Official
82345,Hartford County,8/25/2020,1,Yes,Official
82346,Hartford County,8/26/2020,1,Yes,Official
82347,Hartford County,8/27/2020,1,Yes,Official
82348,Hartford County,8/28/2020,1,Yes,Official
82349,Hartford County,8/29/2020,1,Yes,Official
82350,Hartford County,8/30/2020,1,Yes,Official
82351,Hartford County,8/31/2020,1,Yes,Official
82352,Hartford County,9/1/2020,1,Yes,Official
82353,Hartford County,9/2/2020,1,Yes,Official
82354,Hartford County,9/3/2020,1,Yes,Official
82355,Hartford County,9/4/2020,1,Yes,Official
82356,Hartford County,9/5/2020,1,Yes,Official
82357,Hartford County,9/6/2020,1,Yes,Official
82358,Hartford County,9/7/2020,1,Yes,Official
82359,Hartford County,9/8/2020,1,Yes,Official
82360,Hartford County,9/9/2020,1,Yes,Official
82361,Hartford County,9/10/2020,1,Yes,Official
82362,Hartford County,9/11/2020,1,Yes,Official
82363,Hartford County,9/12/2020,1,Yes,Official
82364,Hartford County,9/13/2020,1,Yes,Official
82365,Hartford County,9/14/2020,1,Yes,Official
82366,Hartford County,9/15/2020,1,Yes,Official
82367,Hartford County,9/16/2020,1,Yes,Official
82368,Hartford County,9/17/2020,1,Yes,Official
82369,Hartford County,9/18/2020,1,Yes,Official
82370,Hartford County,9/19/2020,1,Yes,Official
82371,Hartford County,9/20/2020,1,Yes,Official
82372,Hartford County,9/21/2020,1,Yes,Official
82373,Hartford County,9/22/2020,1,Yes,Official
82374,Hartford County,9/23/2020,1,Yes,Official
82375,Hartford County,9/24/2020,1,Yes,Official
82376,Hartford County,9/25/2020,1,Yes,Official
82377,Hartford County,9/26/2020,1,Yes,Official
82378,Hartford County,9/27/2020,1,Yes,Official
82379,Hartford County,9/28/2020,1,Yes,Official
82380,Hartford County,9/29/2020,1,Yes,Official
82381,Hartford County,9/30/2020,1,Yes,Official
82382,Hartford County,10/1/2020,1,Yes,Official
82383,Hartford County,10/2/2020,1,Yes,Official
82384,Hartford County,10/3/2020,1,Yes,Official
82385,Hartford County,10/4/2020,1,Yes,Official
82386,Hartford County,10/5/2020,1,Yes,Official
82387,Hartford County,10/6/2020,1,Yes,Official
82388,Hartford County,10/7/2020,1,Yes,Official
82389,Hartford County,10/8/2020,1,Yes,Official
82390,Hartford County,10/9/2020,1,Yes,Official
82391,Hartford County,10/10/2020,1,Yes,Official
82392,Hartford County,10/11/2020,1,Yes,Official
82393,Hartford County,10/12/2020,1,Yes,Official
82394,Hartford County,10/13/2020,1,Yes,Official
82395,Hartford County,10/14/2020,1,Yes,Official
82396,Hartford County,10/15/2020,1,Yes,Official
82397,Hartford County,10/16/2020,1,Yes,Official
82398,Hartford County,10/17/2020,1,Yes,Official
82399,Hartford County,10/18/2020,1,Yes,Official
82400,Hartford County,10/19/2020,1,Yes,Official
82401,Hartford County,10/20/2020,1,Yes,Official
82402,Hartford County,10/21/2020,1,Yes,Official
82403,Hartford County,10/22/2020,1,Yes,Official
82404,Hartford County,10/23/2020,1,Yes,Official
82405,Hartford County,10/24/2020,1,Yes,Official
82406,Hartford County,10/25/2020,1,Yes,Official
82407,Hartford County,10/26/2020,1,Yes,Official
82408,Hartford County,10/27/2020,1,Yes,Official
82409,Hartford County,10/28/2020,1,Yes,Official
82410,Hartford County,10/29/2020,1,Yes,Official
82411,Hartford County,10/30/2020,1,Yes,Official
82412,Hartford County,10/31/2020,1,Yes,Official
82413,Hartford County,11/1/2020,1,Yes,Official
82414,Hartford County,11/2/2020,1,Yes,Official
82415,Hartford County,11/3/2020,1,Yes,Official
82416,Hartford County,11/4/2020,1,Yes,Official
82417,Hartford County,11/5/2020,1,Yes,Official
82418,Hartford County,11/6/2020,1,Yes,Official
82419,Hartford County,11/7/2020,1,Yes,Official
82420,Hartford County,11/8/2020,1,Yes,Official
82421,Hartford County,11/9/2020,1,Yes,Official
82422,Hartford County,11/10/2020,1,Yes,Official
82423,Hartford County,11/11/2020,1,Yes,Official
82424,Hartford County,11/12/2020,1,Yes,Official
82425,Hartford County,11/13/2020,1,Yes,Official
82426,Hartford County,11/14/2020,1,Yes,Official
82427,Hartford County,11/15/2020,1,Yes,Official
82428,Hartford County,11/16/2020,1,Yes,Official
82429,Hartford County,11/17/2020,1,Yes,Official
82430,Hartford County,11/18/2020,1,Yes,Official
82431,Hartford County,11/19/2020,1,Yes,Official
82432,Hartford County,11/20/2020,1,Yes,Official
82433,Hartford County,11/21/2020,1,Yes,Official
82434,Hartford County,11/22/2020,1,Yes,Official
82435,Hartford County,11/23/2020,1,Yes,Official
82436,Hartford County,11/24/2020,1,Yes,Official
82437,Hartford County,11/25/2020,1,Yes,Official
82438,Hartford County,11/26/2020,1,Yes,Official
82439,Hartford County,11/27/2020,1,Yes,Official
82440,Hartford County,11/28/2020,1,Yes,Official
82441,Hartford County,11/29/2020,1,Yes,Official
82442,Hartford County,11/30/2020,1,Yes,Official
82443,Hartford County,12/1/2020,1,Yes,Official
82444,Hartford County,12/2/2020,1,Yes,Official
82445,Hartford County,12/3/2020,1,Yes,Official
82446,Hartford County,12/4/2020,1,Yes,Official
82447,Hartford County,12/5/2020,1,Yes,Official
82448,Hartford County,12/6/2020,1,Yes,Official
82449,Hartford County,12/7/2020,1,Yes,Official
82450,Hartford County,12/8/2020,1,Yes,Official
82451,Hartford County,12/9/2020,1,Yes,Official
82452,Hartford County,12/10/2020,1,Yes,Official
82453,Hartford County,12/11/2020,1,Yes,Official
82454,Hartford County,12/12/2020,1,Yes,Official
82455,Hartford County,12/13/2020,1,Yes,Official
82456,Hartford County,12/14/2020,1,Yes,Official
82457,Hartford County,12/15/2020,1,Yes,Official
82458,Hartford County,12/16/2020,1,Yes,Official
82459,Hartford County,12/17/2020,1,Yes,Official
82460,Hartford County,12/18/2020,1,Yes,Official
82461,Hartford County,12/19/2020,1,Yes,Official
82462,Hartford County,12/20/2020,1,Yes,Official
82463,Hartford County,12/21/2020,1,Yes,Official
82465,Hartford County,12/22/2020,1,Yes,Official
82466,Hartford County,12/23/2020,1,Yes,Official
82467,Hartford County,12/24/2020,1,Yes,Official
82468,Hartford County,12/25/2020,1,Yes,Official
82469,Hartford County,12/26/2020,1,Yes,Official
82470,Hartford County,12/27/2020,1,Yes,Official
82471,Hartford County,12/28/2020,1,Yes,Official
82472,Hartford County,12/29/2020,1,Yes,Official
82473,Hartford County,12/30/2020,1,Yes,Official
82474,Hartford County,12/31/2020,1,Yes,Official
930121,Hartford County,1/1/2021,1,Yes,Official
930122,Hartford County,1/2/2021,1,Yes,Official
930123,Hartford County,1/3/2021,1,Yes,Official
930124,Hartford County,1/4/2021,1,Yes,Official
930125,Hartford County,1/5/2021,1,Yes,Official
930126,Hartford County,1/6/2021,1,Yes,Official
930127,Hartford County,1/7/2021,1,Yes,Official
930128,Hartford County,1/8/2021,1,Yes,Official
930129,Hartford County,1/9/2021,1,Yes,Official
930130,Hartford County,1/10/2021,1,Yes,Official
930131,Hartford County,1/11/2021,1,Yes,Official
930132,Hartford County,1/12/2021,1,Yes,Official
930133,Hartford County,1/13/2021,1,Yes,Official
930134,Hartford County,1/14/2021,1,Yes,Official
930135,Hartford County,1/15/2021,1,Yes,Official
930136,Hartford County,1/16/2021,1,Yes,Official
930137,Hartford County,1/17/2021,1,Yes,Official
930138,Hartford County,1/18/2021,1,Yes,Official
930139,Hartford County,1/19/2021,1,Yes,Official
930140,Hartford County,1/20/2021,1,Yes,Official
930141,Hartford County,1/21/2021,1,Yes,Official
930142,Hartford County,1/22/2021,1,Yes,Official
930143,Hartford County,1/23/2021,1,Yes,Official
930144,Hartford County,1/24/2021,1,Yes,Official
930145,Hartford County,1/25/2021,1,Yes,Official
930146,Hartford County,1/26/2021,1,Yes,Official
930147,Hartford County,1/27/2021,1,Yes,Official
930148,Hartford County,1/28/2021,1,Yes,Official
930149,Hartford County,1/29/2021,1,Yes,Official
930150,Hartford County,1/30/2021,1,Yes,Official
930151,Hartford County,1/31/2021,1,Yes,Official
930152,Hartford County,2/1/2021,1,Yes,Official
930153,Hartford County,2/2/2021,1,Yes,Official
930154,Hartford County,2/3/2021,1,Yes,Official
930155,Hartford County,2/4/2021,1,Yes,Official
930156,Hartford County,2/5/2021,1,Yes,Official
930157,Hartford County,2/6/2021,1,Yes,Official
930158,Hartford County,2/7/2021,1,Yes,Official
930159,Hartford County,2/8/2021,1,Yes,Official
930160,Hartford County,2/9/2021,1,Yes,Official
930161,Hartford County,2/10/2021,1,Yes,Official
930162,Hartford County,2/11/2021,1,Yes,Official
930163,Hartford County,2/12/2021,1,Yes,Official
930164,Hartford County,2/13/2021,1,Yes,Official
930165,Hartford County,2/14/2021,1,Yes,Official
930166,Hartford County,2/15/2021,1,Yes,Official
930167,Hartford County,2/16/2021,1,Yes,Official
930168,Hartford County,2/17/2021,1,Yes,Official
930169,Hartford County,2/18/2021,1,Yes,Official
930170,Hartford County,2/19/2021,1,Yes,Official
930171,Hartford County,2/20/2021,1,Yes,Official
930172,Hartford County,2/21/2021,1,Yes,Official
930173,Hartford County,2/22/2021,1,Yes,Official
930174,Hartford County,2/23/2021,1,Yes,Official
930175,Hartford County,2/24/2021,1,Yes,Official
930176,Hartford County,2/25/2021,1,Yes,Official
930177,Hartford County,2/26/2021,1,Yes,Official
930178,Hartford County,2/27/2021,1,Yes,Official
930179,Hartford County,2/28/2021,1,Yes,Official
930180,Hartford County,3/1/2021,1,Yes,Official
930181,Hartford County,3/2/2021,1,Yes,Official
930182,Hartford County,3/3/2021,1,Yes,Official
930183,Hartford County,3/4/2021,1,Yes,Official
930184,Hartford County,3/5/2021,1,Yes,Official
930185,Hartford County,3/6/2021,1,Yes,Official
930186,Hartford County,3/7/2021,1,Yes,Official
930187,Hartford County,3/8/2021,1,Yes,Official
930188,Hartford County,3/9/2021,1,Yes,Official
930189,Hartford County,3/10/2021,1,Yes,Official
930190,Hartford County,3/11/2021,1,Yes,Official
930191,Hartford County,3/12/2021,1,Yes,Official
930192,Hartford County,3/13/2021,1,Yes,Official
930193,Hartford County,3/14/2021,1,Yes,Official
930194,Hartford County,3/15/2021,1,Yes,Official
930195,Hartford County,3/16/2021,1,Yes,Official
930196,Hartford County,3/17/2021,1,Yes,Official
930197,Hartford County,3/18/2021,1,Yes,Official
930198,Hartford County,3/19/2021,1,Yes,Official
930199,Hartford County,3/20/2021,1,Yes,Official
930200,Hartford County,3/21/2021,1,Yes,Official
930201,Hartford County,3/22/2021,1,Yes,Official
930202,Hartford County,3/23/2021,1,Yes,Official
930203,Hartford County,3/24/2021,1,Yes,Official
930204,Hartford County,3/25/2021,1,Yes,Official
930205,Hartford County,3/26/2021,1,Yes,Official
930206,Hartford County,3/27/2021,1,Yes,Official
930207,Hartford County,3/28/2021,1,Yes,Official
930208,Hartford County,3/29/2021,1,Yes,Official
930209,Hartford County,3/30/2021,1,Yes,Official
930210,Hartford County,3/31/2021,1,Yes,Official
930211,Hartford County,4/1/2021,1,Yes,Official
930212,Hartford County,4/2/2021,1,Yes,Official
