,Date,Case_Number,Daily Confirmed Cases
0,2020-06-01,89.0,19.0
1,2020-06-02,85.0,12.0
2,2020-06-03,93.0,2.0
3,2020-06-04,81.0,12.0
4,2020-06-05,108.0,30.0
5,2020-06-06,104.0,38.0
6,2020-06-07,98.0,19.0
7,2020-06-08,79.0,7.0
8,2020-06-09,94.0,14.0
9,2020-06-10,84.0,5.0
10,2020-06-11,105.0,6.0
11,2020-06-12,79.0,5.0
12,2020-06-13,100.0,2.0
13,2020-06-14,91.0,4.0
14,2020-06-15,90.0,6.0
15,2020-06-16,97.0,4.0
16,2020-06-17,169.0,11.0
17,2020-06-18,115.0,6.0
18,2020-06-19,100.0,12.0
19,2020-06-20,109.0,2.0
20,2020-06-21,105.0,0.0
21,2020-06-22,106.0,5.0
22,2020-06-23,89.0,2.0
23,2020-06-24,104.0,5.0
24,2020-06-25,103.0,17.0
25,2020-06-26,97.0,6.0
26,2020-06-27,101.0,11.0
27,2020-06-28,97.0,7.0
28,2020-06-29,97.0,6.0
29,2020-06-30,93.0,10.0
30,2020-07-01,90.0,4.0
31,2020-07-02,132.0,5.0
32,2020-07-03,123.0,0.0
33,2020-07-04,133.0,0.0
34,2020-07-05,111.0,26.0
35,2020-07-06,100.0,1.0
36,2020-07-07,102.0,7.0
37,2020-07-08,117.0,9.0
38,2020-07-09,109.0,11.0
39,2020-07-10,119.0,0.0
40,2020-07-11,134.0,0.0
41,2020-07-12,105.0,13.0
42,2020-07-13,96.0,1.0
43,2020-07-14,113.0,3.0
44,2020-07-15,89.0,11.0
45,2020-07-16,102.0,5.0
46,2020-07-17,108.0,0.0
47,2020-07-18,133.0,0.0
48,2020-07-19,96.0,13.0
49,2020-07-20,105.0,6.0
50,2020-07-21,103.0,5.0
51,2020-07-22,113.0,3.0
52,2020-07-23,95.0,65.0
53,2020-07-24,116.0,0.0
54,2020-07-25,114.0,0.0
55,2020-07-26,112.0,11.0
56,2020-07-27,96.0,3.0
57,2020-07-28,107.0,56.0
58,2020-07-29,99.0,8.0
59,2020-07-30,113.0,11.0
60,2020-07-31,114.0,0.0
61,2020-08-01,110.0,0.0
62,2020-08-02,78.0,6.0
63,2020-08-03,112.0,3.0
64,2020-08-04,125.0,4.0
