,Last update date,Confirmed cases,Daily Confirmed Cases
19,2020-03-24,0.0,0.0
257,2020-03-25,0.0,0.0
452,2020-03-26,0.0,0.0
610,2020-03-27,0.0,0.0
767,2020-03-28,0.0,0.0
909,2020-03-29,0.0,0.0
1078,2020-03-30,0.0,0.0
1349,2020-03-31,0.0,0.0
1466,2020-04-01,0.0,0.0
1610,2020-04-02,0.0,0.0
1753,2020-04-03,0.0,0.0
1922,2020-04-04,0.0,0.0
2062,2020-04-05,0.0,0.0
2202,2020-04-06,0.0,0.0
2430,2020-04-07,0.0,0.0
2599,2020-04-08,0.0,0.0
2767,2020-04-09,0.0,0.0
2936,2020-04-10,0.0,0.0
3105,2020-04-11,0.0,0.0
3275,2020-04-12,0.0,0.0
3443,2020-04-13,0.0,0.0
3613,2020-04-14,0.0,0.0
3781,2020-04-15,0.0,0.0
3950,2020-04-16,0.0,0.0
4119,2020-04-17,0.0,0.0
4288,2020-04-18,0.0,0.0
4457,2020-04-19,0.0,0.0
4626,2020-04-20,0.0,0.0
4795,2020-04-21,0.0,0.0
4964,2020-04-22,0.0,0.0
5133,2020-04-23,0.0,0.0
5302,2020-04-24,0.0,0.0
5471,2020-04-25,0.0,0.0
5640,2020-04-26,0.0,0.0
5809,2020-04-27,0.0,0.0
5978,2020-04-28,0.0,0.0
6147,2020-04-29,0.0,0.0
6316,2020-04-30,0.0,0.0
6485,2020-05-01,0.0,0.0
6654,2020-05-02,0.0,0.0
6823,2020-05-03,0.0,0.0
6992,2020-05-04,0.0,0.0
7161,2020-05-05,0.0,0.0
7330,2020-05-06,0.0,0.0
7499,2020-05-07,0.0,0.0
7668,2020-05-08,0.0,0.0
7837,2020-05-09,0.0,0.0
8006,2020-05-10,0.0,0.0
8175,2020-05-11,0.0,0.0
8344,2020-05-12,0.0,0.0
8513,2020-05-13,0.0,0.0
8682,2020-05-14,0.0,0.0
8851,2020-05-15,0.0,0.0
9020,2020-05-16,0.0,0.0
9189,2020-05-17,0.0,0.0
9358,2020-05-18,0.0,0.0
9527,2020-05-19,0.0,0.0
9696,2020-05-20,0.0,0.0
9865,2020-05-21,0.0,0.0
10034,2020-05-22,0.0,0.0
10203,2020-05-23,0.0,0.0
10372,2020-05-24,0.0,0.0
10541,2020-05-25,0.0,0.0
10710,2020-05-26,0.0,0.0
10879,2020-05-27,0.0,0.0
11048,2020-05-28,0.0,0.0
11217,2020-05-29,0.0,0.0
11386,2020-05-30,0.0,0.0
11555,2020-05-31,2161.0,2161.0
11724,2020-06-01,2180.0,19.0
11893,2020-06-02,2192.0,12.0
12062,2020-06-03,2194.0,2.0
12231,2020-06-04,2206.0,12.0
12400,2020-06-05,2236.0,30.0
12569,2020-06-06,2274.0,38.0
12738,2020-06-07,2293.0,19.0
12907,2020-06-08,2300.0,7.0
13076,2020-06-09,2314.0,14.0
13245,2020-06-10,2319.0,5.0
13414,2020-06-11,2325.0,6.0
13583,2020-06-12,2330.0,5.0
13752,2020-06-13,2332.0,2.0
13921,2020-06-14,2336.0,4.0
14090,2020-06-15,2342.0,6.0
14259,2020-06-16,2346.0,4.0
14428,2020-06-17,2357.0,11.0
14597,2020-06-18,2363.0,6.0
14766,2020-06-19,2375.0,12.0
14935,2020-06-20,2377.0,2.0
15104,2020-06-21,2377.0,0.0
15273,2020-06-22,2382.0,5.0
15442,2020-06-23,2384.0,2.0
15611,2020-06-24,2389.0,5.0
15780,2020-06-25,2406.0,17.0
15949,2020-06-26,2412.0,6.0
16118,2020-06-27,2423.0,11.0
16287,2020-06-28,2430.0,7.0
16456,2020-06-29,2436.0,6.0
16625,2020-06-30,2446.0,10.0
16794,2020-07-01,2450.0,4.0
16963,2020-07-02,2455.0,5.0
17132,2020-07-05,2481.0,26.0
17301,2020-07-06,2482.0,1.0
17470,2020-07-07,2489.0,7.0
17639,2020-07-08,2498.0,9.0
17808,2020-07-09,2509.0,11.0
17977,2020-07-12,2522.0,13.0
18146,2020-07-13,2523.0,1.0
18315,2020-07-14,2526.0,3.0
18484,2020-07-15,2537.0,11.0
18653,2020-07-16,2542.0,5.0
18822,2020-07-19,2555.0,13.0
18991,2020-07-20,2561.0,6.0
19160,2020-07-21,2566.0,5.0
19329,2020-07-22,2569.0,3.0
19498,2020-07-23,2634.0,65.0
19667,2020-07-26,2645.0,11.0
19836,2020-07-27,2648.0,3.0
20005,2020-07-28,2704.0,56.0
20174,2020-07-29,2712.0,8.0
20343,2020-07-30,2723.0,11.0
20512,2020-08-02,2729.0,6.0
20681,2020-08-03,2732.0,3.0
20850,2020-08-04,2736.0,4.0
21019,2020-08-05,2737.0,1.0
21188,2020-08-06,2742.0,5.0
21357,2020-08-09,2742.0,0.0
21526,2020-08-10,2746.0,4.0
21695,2020-08-11,2746.0,0.0
21864,2020-08-12,2756.0,10.0
22033,2020-08-13,2756.0,0.0
22202,2020-08-16,2796.0,40.0
22371,2020-08-17,2793.0,-3.0
22540,2020-08-18,2793.0,0.0
22709,2020-08-19,2796.0,3.0
22878,2020-08-20,2806.0,10.0
23047,2020-08-23,2836.0,30.0
23216,2020-08-24,2836.0,0.0
23385,2020-08-25,2853.0,17.0
23554,2020-08-26,2861.0,8.0
23723,2020-08-27,2878.0,17.0
23892,2020-08-30,2906.0,28.0
24061,2020-08-31,2912.0,6.0
24230,2020-09-01,2922.0,10.0
24399,2020-09-02,2929.0,7.0
24568,2020-09-03,2931.0,2.0
24737,2020-09-07,2946.0,15.0
24906,2020-09-08,2949.0,3.0
25075,2020-09-09,2954.0,5.0
25244,2020-09-10,2969.0,15.0
25413,2020-09-13,3008.0,39.0
25582,2020-09-14,3017.0,9.0
25751,2020-09-15,3033.0,16.0
25920,2020-09-16,3054.0,21.0
26089,2020-09-17,3070.0,16.0
26258,2020-09-20,3101.0,31.0
26427,2020-09-21,3104.0,3.0
26596,2020-09-22,3112.0,8.0
26765,2020-09-23,3127.0,15.0
26934,2020-09-24,3134.0,7.0
27103,2020-09-27,3158.0,24.0
27272,2020-09-28,3168.0,10.0
27441,2020-09-29,3178.0,10.0
27610,2020-09-30,3188.0,10.0
27779,2020-10-01,3236.0,48.0
27948,2020-10-04,3303.0,67.0
28117,2020-10-05,3319.0,16.0
28286,2020-10-06,3337.0,18.0
28455,2020-10-07,3367.0,30.0
28624,2020-10-08,3385.0,18.0
28793,2020-10-11,3486.0,101.0
28962,2020-10-12,3505.0,19.0
29131,2020-10-13,3525.0,20.0
29300,2020-10-14,3537.0,12.0
29469,2020-10-15,3588.0,51.0
29638,2020-10-18,3657.0,69.0
29807,2020-10-19,3685.0,28.0
29976,2020-10-20,3708.0,23.0
30145,2020-10-21,3723.0,15.0
30314,2020-10-22,3775.0,52.0
30483,2020-10-25,3887.0,112.0
30652,2020-10-26,3905.0,18.0
30821,2020-10-27,3925.0,20.0
30990,2020-10-28,3962.0,37.0
31159,2020-10-29,4004.0,42.0
31328,2020-11-01,4149.0,145.0
31497,2020-11-02,4213.0,64.0
31666,2020-11-03,4232.0,19.0
31835,2020-11-04,4285.0,53.0
32004,2020-11-05,4364.0,79.0
32173,2020-11-08,4497.0,133.0
32342,2020-11-09,4571.0,74.0
32511,2020-11-10,4678.0,107.0
32680,2020-11-11,4754.0,76.0
32849,2020-11-12,4863.0,109.0
33018,2020-11-15,5112.0,249.0
33187,2020-11-16,5194.0,82.0
33356,2020-11-17,5330.0,136.0
33525,2020-11-18,5451.0,121.0
33694,2020-11-19,5537.0,86.0
33863,2020-11-22,5793.0,256.0
34032,2020-11-23,5815.0,22.0
34201,2020-11-24,5940.0,125.0
34370,2020-11-26,6119.0,179.0
34539,2020-11-29,6374.0,255.0
34708,2020-11-30,6390.0,16.0
34877,2020-12-01,6504.0,114.0
35046,2020-12-02,6662.0,158.0
35215,2020-12-03,6717.0,55.0
35384,2020-12-06,7203.0,486.0
35553,2020-12-07,7305.0,102.0
35722,2020-12-08,7434.0,129.0
35891,2020-12-09,7587.0,153.0
36060,2020-12-10,7720.0,133.0
36229,2020-12-13,8145.0,425.0
36398,2020-12-14,8225.0,80.0
36567,2020-12-15,8390.0,165.0
36736,2020-12-16,8510.0,120.0
36905,2020-12-17,8646.0,136.0
37074,2020-12-20,8926.0,280.0
37243,2020-12-21,8973.0,47.0
37412,2020-12-22,9043.0,70.0
37581,2020-12-23,9136.0,93.0
37750,2020-12-27,9613.0,477.0
37919,2020-12-28,9640.0,27.0
38088,2020-12-29,9742.0,102.0
38257,2020-12-30,9813.0,71.0
38426,2021-01-01,10005.0,192.0
38595,2021-01-03,10195.0,190.0
38764,2021-01-04,10306.0,111.0
38933,2021-01-05,10417.0,111.0
39102,2021-01-06,10536.0,119.0
39271,2021-01-07,10736.0,200.0
39440,2021-01-10,11021.0,285.0
39609,2021-01-11,11199.0,178.0
39778,2021-01-12,11313.0,114.0
39947,2021-01-13,11350.0,37.0
40116,2021-01-14,11406.0,56.0
40285,2021-01-17,11699.0,293.0
40454,2021-01-18,11788.0,89.0
40623,2021-01-19,11845.0,57.0
40792,2021-01-20,11919.0,74.0
40961,2021-01-21,11997.0,78.0
41130,2021-01-24,12249.0,252.0
41299,2021-01-25,12307.0,58.0
41468,2021-01-26,12398.0,91.0
41637,2021-01-27,12449.0,51.0
41806,2021-01-28,12490.0,41.0
41975,2021-01-31,12639.0,149.0
42144,2021-02-01,12703.0,64.0
42313,2021-02-02,12712.0,9.0
42482,2021-02-03,12748.0,36.0
42651,2021-02-04,12809.0,61.0
42820,2021-02-07,12977.0,168.0
42989,2021-02-08,13000.0,23.0
43158,2021-02-09,13041.0,41.0
43327,2021-02-10,13090.0,49.0
43496,2021-02-11,13132.0,42.0
43665,2021-02-14,13237.0,105.0
43834,2021-02-15,13255.0,18.0
44003,2021-02-16,13269.0,14.0
44172,2021-02-17,13282.0,13.0
44341,2021-02-18,13324.0,42.0
44510,2021-02-21,13438.0,114.0
44679,2021-02-22,13453.0,15.0
44848,2021-02-23,13484.0,31.0
45017,2021-02-24,13505.0,21.0
45186,2021-02-25,13528.0,23.0
45355,2021-02-28,13613.0,85.0
45524,2021-03-01,13623.0,10.0
45693,2021-03-02,13629.0,6.0
45862,2021-03-03,13661.0,32.0
46031,2021-03-04,13682.0,21.0
46200,2021-03-07,13731.0,49.0
46369,2021-03-08,13740.0,9.0
46538,2021-03-09,13746.0,6.0
46707,2021-03-10,13764.0,18.0
46876,2021-03-11,13790.0,26.0
47045,2021-03-14,13842.0,52.0
47214,2021-03-15,13854.0,12.0
