,Date,2019_dailyCrime,2020_dailyCrime
0,06-01,135,89.0
1,06-02,110,85.0
2,06-03,86,93.0
3,06-04,84,81.0
4,06-05,96,108.0
5,06-06,104,104.0
6,06-07,211,98.0
7,06-08,156,79.0
8,06-09,102,94.0
9,06-10,68,84.0
10,06-11,116,105.0
11,06-12,84,79.0
12,06-13,129,100.0
13,06-14,124,91.0
14,06-15,101,90.0
15,06-16,96,97.0
16,06-17,83,169.0
17,06-18,116,115.0
18,06-19,124,100.0
19,06-20,124,109.0
20,06-21,119,105.0
21,06-22,110,106.0
22,06-23,117,89.0
23,06-24,81,104.0
24,06-25,93,103.0
25,06-26,108,97.0
26,06-27,87,101.0
27,06-28,120,97.0
28,06-29,142,97.0
29,06-30,91,93.0
30,07-01,114,90.0
31,07-02,99,132.0
32,07-03,107,123.0
33,07-04,89,133.0
34,07-05,128,111.0
35,07-06,99,100.0
36,07-07,96,102.0
37,07-08,71,117.0
38,07-09,110,109.0
39,07-10,119,119.0
40,07-11,116,134.0
41,07-12,101,105.0
42,07-13,115,96.0
43,07-14,96,113.0
44,07-15,122,89.0
45,07-16,105,102.0
46,07-17,111,108.0
47,07-18,114,133.0
48,07-19,128,96.0
49,07-20,113,105.0
50,07-21,144,103.0
51,07-22,95,113.0
52,07-23,94,95.0
53,07-24,114,116.0
54,07-25,95,114.0
55,07-26,122,112.0
56,07-27,96,96.0
57,07-28,87,107.0
58,07-29,89,99.0
59,07-30,101,113.0
60,07-31,118,114.0
61,08-01,111,110.0
62,08-02,114,78.0
63,08-03,108,112.0
64,08-04,95,125.0
65,08-05,149,97.0
66,08-06,95,127.0
67,08-07,89,103.0
68,08-08,129,115.0
69,08-09,115,89.0
70,08-10,98,112.0
71,08-11,90,107.0
72,08-12,80,100.0
73,08-13,76,121.0
74,08-14,111,125.0
75,08-15,95,113.0
76,08-16,121,102.0
77,08-17,92,145.0
78,08-18,111,107.0
79,08-19,80,111.0
80,08-20,91,109.0
81,08-21,116,131.0
82,08-22,106,105.0
83,08-23,92,107.0
84,08-24,94,115.0
85,08-25,165,125.0
86,08-26,81,136.0
87,08-27,92,108.0
88,08-28,121,136.0
89,08-29,115,94.0
90,08-30,89,94.0
91,08-31,111,110.0
92,09-01,109,108.0
93,09-02,82,123.0
94,09-03,73,127.0
95,09-04,116,138.0
96,09-05,84,110.0
97,09-06,119,83.0
98,09-07,106,100.0
99,09-08,123,110.0
100,09-09,76,121.0
101,09-10,91,124.0
102,09-11,121,131.0
103,09-12,101,141.0
104,09-13,114,81.0
105,09-14,95,102.0
106,09-15,69,120.0
107,09-16,95,120.0
108,09-17,90,100.0
109,09-18,119,108.0
110,09-19,86,92.0
111,09-20,77,85.0
112,09-21,86,106.0
113,09-22,92,89.0
114,09-23,91,117.0
115,09-24,86,111.0
