,Date,Case_Number
0,2020-06-01,89
1,2020-06-02,85
2,2020-06-03,93
3,2020-06-04,81
4,2020-06-05,108
5,2020-06-06,104
6,2020-06-07,98
7,2020-06-08,79
8,2020-06-09,94
9,2020-06-10,84
10,2020-06-11,105
11,2020-06-12,79
12,2020-06-13,100
13,2020-06-14,91
14,2020-06-15,90
15,2020-06-16,97
16,2020-06-17,169
17,2020-06-18,115
18,2020-06-19,100
19,2020-06-20,109
20,2020-06-21,105
21,2020-06-22,106
22,2020-06-23,89
23,2020-06-24,104
24,2020-06-25,103
25,2020-06-26,97
26,2020-06-27,101
27,2020-06-28,97
28,2020-06-29,97
29,2020-06-30,93
30,2020-07-01,90
31,2020-07-02,132
32,2020-07-03,123
33,2020-07-04,133
34,2020-07-05,111
35,2020-07-06,100
36,2020-07-07,102
37,2020-07-08,117
38,2020-07-09,109
39,2020-07-10,119
40,2020-07-11,134
41,2020-07-12,105
42,2020-07-13,96
43,2020-07-14,113
44,2020-07-15,89
45,2020-07-16,102
46,2020-07-17,108
47,2020-07-18,133
48,2020-07-19,96
49,2020-07-20,105
50,2020-07-21,103
51,2020-07-22,113
52,2020-07-23,95
53,2020-07-24,116
54,2020-07-25,114
55,2020-07-26,112
56,2020-07-27,96
57,2020-07-28,107
58,2020-07-29,99
59,2020-07-30,113
60,2020-07-31,114
61,2020-08-01,110
62,2020-08-02,78
63,2020-08-03,112
64,2020-08-04,125
65,2020-08-05,97
66,2020-08-06,127
67,2020-08-07,103
68,2020-08-08,115
69,2020-08-09,89
70,2020-08-10,112
71,2020-08-11,107
72,2020-08-12,100
73,2020-08-13,121
74,2020-08-14,125
75,2020-08-15,113
76,2020-08-16,102
77,2020-08-17,145
78,2020-08-18,107
79,2020-08-19,111
80,2020-08-20,109
81,2020-08-21,131
82,2020-08-22,105
83,2020-08-23,107
84,2020-08-24,115
85,2020-08-25,125
86,2020-08-26,136
87,2020-08-27,108
88,2020-08-28,136
89,2020-08-29,94
90,2020-08-30,94
91,2020-08-31,110
92,2020-09-01,108
93,2020-09-02,123
94,2020-09-03,127
95,2020-09-04,138
96,2020-09-05,110
97,2020-09-06,83
98,2020-09-07,100
99,2020-09-08,110
100,2020-09-09,121
101,2020-09-10,124
102,2020-09-11,131
103,2020-09-12,141
104,2020-09-13,81
105,2020-09-14,102
106,2020-09-15,120
107,2020-09-16,120
108,2020-09-17,100
109,2020-09-18,108
110,2020-09-19,92
111,2020-09-20,85
112,2020-09-21,106
113,2020-09-22,89
114,2020-09-23,117
115,2020-09-24,111
116,2020-09-25,128
117,2020-09-26,110
118,2020-09-27,99
119,2020-09-28,137
120,2020-09-29,84
121,2020-09-30,122
122,2020-10-01,131
123,2020-10-02,122
124,2020-10-03,133
125,2020-10-04,95
126,2020-10-05,105
127,2020-10-06,108
128,2020-10-07,139
129,2020-10-08,96
130,2020-10-09,130
131,2020-10-10,155
132,2020-10-11,109
133,2020-10-12,85
134,2020-10-13,97
135,2020-10-14,120
136,2020-10-15,142
137,2020-10-16,122
138,2020-10-17,125
139,2020-10-18,113
140,2020-10-19,130
141,2020-10-20,112
142,2020-10-21,128
143,2020-10-22,141
144,2020-10-23,124
145,2020-10-24,108
146,2020-10-25,108
147,2020-10-26,117
148,2020-10-27,108
149,2020-10-28,131
150,2020-10-29,88
151,2020-10-30,100
152,2020-10-31,106
153,2020-11-01,96
154,2020-11-02,107
155,2020-11-03,91
156,2020-11-04,106
157,2020-11-05,112
158,2020-11-06,101
159,2020-11-07,109
160,2020-11-08,85
161,2020-11-09,114
162,2020-11-10,115
163,2020-11-11,92
164,2020-11-12,102
165,2020-11-13,96
166,2020-11-14,102
167,2020-11-15,64
168,2020-11-16,109
169,2020-11-17,92
170,2020-11-18,105
171,2020-11-19,110
172,2020-11-20,116
173,2020-11-21,103
174,2020-11-22,98
175,2020-11-23,91
176,2020-11-24,143
177,2020-11-25,102
178,2020-11-26,85
179,2020-11-27,107
180,2020-11-28,88
181,2020-11-29,83
182,2020-11-30,84
183,2020-12-01,117
184,2020-12-02,99
185,2020-12-03,111
186,2020-12-04,107
187,2020-12-05,91
188,2020-12-06,83
189,2020-12-07,94
190,2020-12-08,292
191,2020-12-09,99
192,2020-12-10,103
193,2020-12-11,105
194,2020-12-12,94
195,2020-12-13,98
196,2020-12-14,88
197,2020-12-15,104
198,2020-12-16,218
199,2020-12-17,79
200,2020-12-18,115
201,2020-12-19,84
202,2020-12-20,77
203,2020-12-21,94
204,2020-12-22,77
205,2020-12-23,86
206,2020-12-24,80
207,2020-12-25,84
208,2020-12-26,85
209,2020-12-27,79
210,2020-12-28,89
211,2020-12-29,94
212,2020-12-30,78
213,2020-12-31,82
214,2021-01-01,94
215,2021-01-02,71
216,2021-01-03,79
217,2021-01-04,78
218,2021-01-05,82
219,2021-01-06,80
220,2021-01-07,75
221,2021-01-08,89
222,2021-01-09,92
223,2021-01-10,85
224,2021-01-11,82
225,2021-01-12,104
226,2021-01-13,92
227,2021-01-14,105
228,2021-01-15,95
229,2021-01-16,78
230,2021-01-17,77
231,2021-01-18,80
232,2021-01-19,92
233,2021-01-20,97
234,2021-01-21,114
235,2021-01-22,84
236,2021-01-23,91
237,2021-01-24,60
238,2021-01-25,110
239,2021-01-26,99
240,2021-01-27,87
241,2021-01-28,116
242,2021-01-29,79
243,2021-01-30,91
244,2021-01-31,65
245,2021-02-01,269
246,2021-02-02,83
247,2021-02-03,87
248,2021-02-04,118
249,2021-02-05,114
250,2021-02-06,77
251,2021-02-07,66
252,2021-02-08,90
253,2021-02-09,194
254,2021-02-10,162
255,2021-02-11,108
256,2021-02-12,87
257,2021-02-13,71
258,2021-02-14,62
259,2021-02-15,55
260,2021-02-16,73
261,2021-02-17,103
262,2021-02-18,97
263,2021-02-19,86
264,2021-02-20,83
265,2021-02-21,69
266,2021-02-22,77
267,2021-02-23,102
268,2021-02-24,95
269,2021-02-25,108
270,2021-02-26,106
271,2021-02-27,81
272,2021-02-28,58
273,2021-03-01,101
274,2021-03-02,127
275,2021-03-03,101
276,2021-03-04,104
277,2021-03-05,103
278,2021-03-06,93
279,2021-03-07,81
280,2021-03-08,96
281,2021-03-09,140
282,2021-03-10,104
283,2021-03-11,130
284,2021-03-12,106
285,2021-03-13,90
286,2021-03-14,65
287,2021-03-15,95
288,2021-03-16,84
289,2021-03-17,93
290,2021-03-18,108
291,2021-03-19,90
292,2021-03-20,105
293,2021-03-21,74
294,2021-03-22,114
295,2021-03-23,95
296,2021-03-24,100
297,2021-03-25,117
298,2021-03-26,99
299,2021-03-27,75
300,2021-03-28,79
301,2021-03-29,80
302,2021-03-30,98
303,2021-03-31,80
304,2021-04-01,91
305,2021-04-02,99
306,2021-04-03,107
307,2021-04-04,85
308,2021-04-05,95
309,2021-04-06,87
310,2021-04-07,102
311,2021-04-08,103
312,2021-04-09,115
313,2021-04-10,102
314,2021-04-11,74
315,2021-04-12,80
316,2021-04-13,105
317,2021-04-14,92
318,2021-04-15,72
319,2021-04-16,76
320,2021-04-17,95
321,2021-04-18,86
322,2021-04-19,87
323,2021-04-20,79
324,2021-04-21,83
325,2021-04-22,82
326,2021-04-23,82
327,2021-04-24,136
328,2021-04-25,102
329,2021-04-26,84
330,2021-04-27,103
331,2021-04-28,106
332,2021-04-29,102
333,2021-04-30,107
334,2021-05-01,115
335,2021-05-02,83
336,2021-05-03,81
337,2021-05-04,93
338,2021-05-05,89
339,2021-05-06,107
340,2021-05-07,85
341,2021-05-08,86
342,2021-05-09,96
343,2021-05-10,108
344,2021-05-11,69
345,2021-05-12,105
346,2021-05-13,97
347,2021-05-14,80
348,2021-05-15,90
349,2021-05-16,88
350,2021-05-17,77
351,2021-05-18,18
352,2021-05-19,1
